id,CITED2,HMGA2,CCNG1,label
206,1472.994962,6561.540166,10989.60532,1
207,1461.215828,425.8474918,5373.191852,1
208,4913.943399,297.8075543,3061.410219,1
209,1202.140476,4.504117469,6256.355375,1
210,1222.746451,2661.432903,5093.024794,1
211,7865.431636,11.08797294,5961.427748,1
212,3666.930331,41.08019472,4149.890877,1
213,2389.479917,488.5914103,3318.699176,1
214,2346.459507,958.5379147,7548.400468,1
215,1332.837281,55.60105178,2998.974657,1
216,8336.483579,218.3310935,6581.996157,1
217,4166.161652,193.1517675,5502.854913,1
218,3883.39499,289.541853,3027.150211,1
219,969.6017738,1206.354082,19623.21508,1
220,7754.011507,2240.586102,7217.001269,1
221,3386.731488,141.3951901,4240.815553,1
222,3625.106414,473.7811871,10011.32888,1
223,5162.081103,528.5644938,4212.430474,1
224,1796.158233,334.0743647,4784.438001,1
225,3214.959295,361.5030028,8222.807336,1
226,1374.24925,1507.204065,8551.365035,1
227,2971.601808,3494.379596,2827.610295,1
228,1605.352778,956.9215981,7858.281107,1
229,3503.202336,15.18421985,7395.15616,1
230,3168.897664,737.4619626,3820.988285,1
231,1240.106293,336.0006155,11890.29782,1
232,1983.626988,617.3133399,4075.095543,1
233,1960.696868,887.2850537,10840.47356,1
234,4784.707072,464.3960867,9730.518261,1
235,2977.129914,3938.526865,17620.93253,1
236,4101.332779,229.7422352,5122.745427,1
237,3045.269044,10667.10978,4532.950801,1
238,3162.239674,763.9517695,6440.303302,1
239,2147.858446,500.2564645,2425.088702,1
240,939.390299,2117.852386,3051.289053,1
241,1779.53418,184.0503079,3144.455277,1
242,3007.56723,133.5928959,3504.122092,1
243,2620.053788,90.84510735,3631.081633,1
244,2093.651596,19342.20602,3000.803697,1
245,3125.486713,664.5610885,4662.366039,1
246,1448.394119,998.0517267,3605.248454,1
247,2339.907531,1604.137025,2959.187646,1
248,1271.570757,2313.675483,2378.171266,1
249,2079.709023,9536.805544,7649.9282,1
250,2924.531643,779.1676403,7352.31066,1
251,2094.732224,39.4349514,3380.28836,1
252,1969.161774,3616.313209,14202.02979,1
253,2553.318796,3123.716076,6783.920388,1
254,3784.247574,611.8419185,6185.93992,1
255,1409.637851,1220.676445,5816.154358,1
256,1235.175863,288.6732551,7223.757348,1
257,1843.510446,572.4205906,9727.950698,1
258,6964.541974,427.6692527,9673.252034,1
259,2055.377875,325.629315,3069.070769,1
260,2138.597436,21365.88871,5048.587986,1
261,676.3726477,2252.840693,5552.24452,1
262,1897.143138,146.8881833,4199.693566,1
263,4197.898651,289.6925781,4893.272912,1
264,1612.501685,2404.954897,2908.224872,1
265,2219.105874,328.9915278,4898.002001,1
266,1532.20262,74.6253083,4612.322668,1
267,2896.302113,6244.316813,10801.3355,1
268,1380.822359,5.10991659,3356.178904,1
269,3053.523379,1086.183273,1688.098957,1
270,2533.120453,270.8197902,4450.675539,1
271,2675.250853,929.1437892,2971.388433,1
272,2174.710527,380.0918086,4042.258459,1
273,1392.354386,226.7372556,2669.451381,1
